Run,Gen,Rule,Fitness,calc_fraction_of_friends,distance_from_home_patch,mean_home_utility_of_neighborhood,mean_neighborhood_age,my_tendency_to_move,neighborhood_isolation
0,2.0,( negate (( negate (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) )  ) )  ) ,0.02945317701121802,1.0,0.0,0.0,0.0,0.0,0.0
0,2.0,( neighborhood-isolation (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2.0,( negate (( negate (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) )  ) )  ) ,0.0382074920022096,1.0,0.0,0.0,0.0,0.0,0.0
0,2.0,( combine (( combine (( combine (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ) (( mean-home-utility-of-neighborhood (( get-patch-to-evaluate  ) )  ) )  ) ) (( distance-from-home-patch (( get-patch-to-evaluate  ) )  ) )  ) ) (( distance-from-home-patch (( get-patch-to-evaluate  ) )  ) )  ) ,0.05417532243869385,1.0,2.0,1.0,0.0,0.0,0.0
0,2.0,( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ,0.01203514431287742,1.0,0.0,0.0,0.0,0.0,0.0
0,2.0,( combine (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ) (( mean-home-utility-of-neighborhood (( get-patch-to-evaluate  ) )  ) )  ) ,0.17896430130695673,1.0,0.0,1.0,0.0,0.0,0.0
0,2.0,( combine (( combine (( neighborhood-isolation (( get-patch-to-evaluate  ) )  ) ) (( distance-from-home-patch (( get-patch-to-evaluate  ) )  ) )  ) ) (( distance-from-home-patch (( get-patch-to-evaluate  ) )  ) )  ) ,0.0,0.0,2.0,0.0,0.0,0.0,1.0
0,2.0,( mean-home-utility-of-neighborhood (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,2.0,( combine (( combine (( combine (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ) (( mean-home-utility-of-neighborhood (( get-patch-to-evaluate  ) )  ) )  ) ) (( distance-from-home-patch (( get-patch-to-evaluate  ) )  ) )  ) ) (( distance-from-home-patch (( get-patch-to-evaluate  ) )  ) )  ) ,0.054515483106205714,1.0,2.0,1.0,0.0,0.0,0.0
0,2.0,( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ,0.017221967434009625,1.0,0.0,0.0,0.0,0.0,0.0
0,2.0,( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ,0.01857045570451917,1.0,0.0,0.0,0.0,0.0,0.0
0,2.0,( combine (( mean-home-utility-of-neighborhood (( get-patch-to-evaluate  ) )  ) ) (( distance-from-home-patch (( get-patch-to-evaluate  ) )  ) )  ) ,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,2.0,( combine (( combine (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ) (( mean-home-utility-of-neighborhood (( get-patch-to-evaluate  ) )  ) )  ) ) (( distance-from-home-patch (( get-patch-to-evaluate  ) )  ) )  ) ,0.1484106183829213,1.0,1.0,1.0,0.0,0.0,0.0
0,2.0,( combine (( combine (( combine (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ) (( mean-home-utility-of-neighborhood (( get-patch-to-evaluate  ) )  ) )  ) ) (( distance-from-home-patch (( get-patch-to-evaluate  ) )  ) )  ) ) (( distance-from-home-patch (( get-patch-to-evaluate  ) )  ) )  ) ,0.03993628172832624,1.0,2.0,1.0,0.0,0.0,0.0
0,2.0,( mean-neighborhood-age (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,3.0,( combine (( combine (( combine (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ) (( mean-home-utility-of-neighborhood (( get-patch-to-evaluate  ) )  ) )  ) ) (( distance-from-home-patch (( get-patch-to-evaluate  ) )  ) )  ) ) (( distance-from-home-patch (( get-patch-to-evaluate  ) )  ) )  ) ,0.03607745101021987,1.0,2.0,1.0,0.0,0.0,0.0
0,3.0,( combine (( combine (( combine (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ) (( mean-home-utility-of-neighborhood (( get-patch-to-evaluate  ) )  ) )  ) ) (( distance-from-home-patch (( get-patch-to-evaluate  ) )  ) )  ) ) (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) )  ) ,0.15963265619987266,2.0,1.0,1.0,0.0,0.0,0.0
0,3.0,( combine (( combine (( combine (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ) (( mean-home-utility-of-neighborhood (( get-patch-to-evaluate  ) )  ) )  ) ) (( distance-from-home-patch (( get-patch-to-evaluate  ) )  ) )  ) ) (( distance-from-home-patch (( get-patch-to-evaluate  ) )  ) )  ) ,0.06013364915644954,1.0,2.0,1.0,0.0,0.0,0.0
0,3.0,( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ,0.02467110984915214,1.0,0.0,0.0,0.0,0.0,0.0
0,3.0,( combine (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ) (( mean-home-utility-of-neighborhood (( get-patch-to-evaluate  ) )  ) )  ) ,0.19687487575003634,1.0,0.0,1.0,0.0,0.0,0.0
0,3.0,( combine (( combine (( combine (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ) (( mean-home-utility-of-neighborhood (( get-patch-to-evaluate  ) )  ) )  ) ) (( distance-from-home-patch (( get-patch-to-evaluate  ) )  ) )  ) ) (( distance-from-home-patch (( get-patch-to-evaluate  ) )  ) )  ) ,0.03740210550625688,1.0,2.0,1.0,0.0,0.0,0.0
0,3.0,( negate (( negate (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) )  ) )  ) ,0.027721860643558253,1.0,0.0,0.0,0.0,0.0,0.0
0,3.0,( negate (( negate (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) )  ) )  ) ,0.03537892511186756,1.0,0.0,0.0,0.0,0.0,0.0
